x,y,z,qx,qy,qz,qw,timestamp
-413.5719928289311,-85.46410438708831,24.219875213061627,-0.6636201898481816,-0.03859157417916158,-0.015414780467036307,0.7469145323070043,10363.0
-413.43244943839403,-86.2441387750835,24.289063297278368,-0.664377364761204,-0.038123174584201766,-0.016318268236278542,0.746245974779328,10421.0
-413.30902315149024,-86.84240519297488,24.336834443721813,-0.6649570415267896,-0.03777373426851906,-0.01702051385279836,0.7457315737123764,10477.0
-413.34433887222474,-87.41106601328978,24.436350725094147,-0.6655026146993428,-0.03736466704325043,-0.017588928117178857,0.7452521594016174,10533.0
-413.6816768855082,-88.2451137882952,24.68030479506922,-0.6662915503761714,-0.03662556227062118,-0.018233000118520932,0.7445681270322795,10590.0
-413.8586443657258,-89.3587147801481,24.913764049749542,-0.6673513455566192,-0.03577862384802648,-0.01927275581207382,0.743633399292097,10646.0
-413.50276020603053,-91.10393743441084,25.06557129785092,-0.6690276263132734,-0.03477109931193234,-0.02132131994211177,0.7421175157602689,10702.0
-413.1266387282408,-93.24531269262866,25.280522042673116,-0.6710817784209402,-0.033495637688438336,-0.023823646521479714,0.7402430160384172,10763.0
-412.966183381024,-94.33439895973893,25.40892132196132,-0.6721882610418889,-0.03274030089518024,-0.02522133112922728,0.7392258781122617,10824.0
-412.76379974753394,-94.83736163136614,25.423990220354575,-0.6726882186156322,-0.03247555616482562,-0.02592252842349323,0.7387583646278707,10879.0
-412.86122864487345,-95.03857911239776,25.490341815882,-0.6728753296018701,-0.03229278265919018,-0.02606631187485541,0.7385908978497797,10935.0
-413.00104844651156,-95.39769690783773,25.596879317643317,-0.6732090969830209,-0.031985457623289644,-0.02634149090448024,0.7382903006926634,10991.0
-413.10076530818304,-96.42445738134039,25.801778376947972,-0.6741676922660702,-0.03125821485442679,-0.027332647192664546,0.7374101796871244,11047.0
-412.99359855709287,-97.4319299233768,25.936134385304786,-0.6751112252793349,-0.030647405095208906,-0.02844442869712649,0.7365300296246308,11104.0
-413.1264243911585,-97.87104770347567,26.057057674535976,-0.6755186084422518,-0.030291307599708415,-0.028810296359672232,0.7361569215566823,11161.0
-413.20466638026573,-97.9928807717085,26.104718771299275,-0.6756310074650231,-0.03017172973798724,-0.028885058454419278,0.7360557464448603,11216.0
-413.25605197844345,-98.16628893317944,26.151662460353776,-0.6757914801108313,-0.03003228327242479,-0.02902828474022212,0.7359084834788205,11271.0
-413.4175449174463,-98.61357571683627,26.284607778045753,-0.6762041833219824,-0.02965914068308912,-0.029382318483716013,0.7355303645617312,11326.0
-413.6403604331053,-99.01562723120242,26.43030905733762,-0.6765735686355923,-0.02928612390668728,-0.029647855703828437,0.7351948951280787,11380.0
-413.8821401422746,-99.38778032525849,26.579780703280097,-0.6769147350004503,-0.028921337967627667,-0.029869709553762263,0.7348862484770049,11436.0
-414.0272400191839,-99.86889971696344,26.71303585661844,-0.6773587951252547,-0.02853540519690015,-0.030269059090019562,0.7344757159896554,11498.0
-414.1843931661436,-100.30071061183568,26.845470897166823,-0.6777562163542667,-0.02817430598562012,-0.03060714703548371,0.7341089307628161,11553.0
